review,label
VẢI HƠI MỎNG NHÉ SHOP,0
"Không thể lắp ráp sản phẩm, hướng dẫn không rõ ràng.",0
"Chất liệu sản phẩm trung bình, không có gì đặc biệt.",1
"Hàng bị thiếu phụ kiện, không thể sử dụng.",0
Giá cao mà chất lượng lại thấp.,0
"Sản phẩm không đáng đồng tiền bát gạo, thật sự thất vọng.",0
"Kích thước không chính xác, không phù hợp với nhu cầu.",0
"Hàng không đạt tiêu chuẩn, rất kém chất lượng.",0
"áo phom đẹp ko rộng,vải có vẻ mỏng, chưa mặc ra nắng nhưng có nhiều lỗ thông gió nên mặc mát",2
"dkm, shop bán hàng cũ bào hàng mới, bố láo",0
"Hàng hóa khá ổn, nhưng chất lượng không cao lắm.",1
"Không thể hoàn trả, rất bất tiện.",0
Sản phẩm rất dễ bị hỏng sau lần đầu sử dụng.,0
"Hàng nhận được không đến nỗi tệ, nhưng cũng không xuất sắc.",1
"Chất lượng không như mong đợi, thật sự thất vọng.",0
"mới mua về mà có cuộc gọi đến đều không bấm được phím gọi và phím tắt , chất lượng kém quá làm thế nào hả tiki ?",0
Khuyên chuyên gia hãy kiểm tra thử rồi hãy bán cho khách. Thiết bị này chất lượng kém âm thanh nghe bị méo bass ko ra bass tres ko ra tres âmthanh nhỏ,0
Mẫu mã không đẹp như trong hình.,0
"Kích thước không chính xác, quá nhỏ cho nhu cầu của tôi.",0
"Dịch vụ khách hàng rất tệ, không hỗ trợ gì.",0
"Chất lượng sản phẩm trung bình, không có gì nổi bật.",1
Giao hàng đúng tiêu_chuẩn,2
"Sản phẩm không tốt cũng không tệ, chỉ bình thường.",1
Hàng về rồi. Shop gói hàng kĩ quá 😁😁. Chất lượng tốt lắm. Cảm ơn shop nha,2
Mình mua lần 2 rồi. vẫn rất hài lòng. bình rất đẹp. giao đúng mẫu mình chọn. Mình sẽ ủng hộ tiếp. mua tặng bạn bè. Thanks shop nhiều 😘,2
tui đặt mẫu số 2 mà shop gửi tui gậy đó.làm ăn gian dối,0
"Chất liệu sản phẩm trung bình, không có gì đặc biệt.",1
đống goi chắc chắn hàng đẹp hơn mong đợi chủ shop nhiệt tình noi chung sản phẩm chất lượng sẽ ủng hộ shop thêm nữa,2
Quá nhiều vấn đề khi sử dụng sản phẩm.,0
"San pham khong co gi dac biet, chi binh thuong.",1
"Hàng bị méo mó khi nhận, không dùng được.",0
"Sản phẩm khá vừa ý, nhưng cũng không có gì nổi bật.",1
quân lot su dp giôg mâu nhưg hang ko tôt như jm đa mua chât liêu vai cưng ko miêm ko mat,0
"Rất dễ bị trầy xước, không bền.",0
"Hàng giao không đúng địa chỉ, rất bực bội.",0
"Sản phẩm không bền, dễ hỏng.",0
"Chất liệu không tốt, rất kém chất lượng.",0
"Chất lượng hình ảnh kém, không sắc nét.",0
"Sản phẩm không có gì nổi bật, rất chán.",0
"Shop bán hàng không có tâm, lừa đảo",0
hàng dỏm... xem không như quảng cáo,0
"Màu sắc không đúng, không đẹp như trong hình.",0
"Thời gian giao hàng vừa phải, nhưng sản phẩm không ấn tượng.",1
"Dịch vụ khách hàng khá tốt, nhưng sản phẩm thì chỉ ổn.",1
"Sản phẩm có giá cả hợp lý, nhưng chất lượng không cao.",1
"hang phu hop gia tien,  ba lo hoi mong manh,  ao khoac ok",2
doi size 38 nhe.e lay them cai mau trang nua.2 cai den voi mau da nay dep nhung e kg cai moc dc.cho e doi size lon 38 them 1 cai trang nua nhashop oi,2
"Hàng không thể sử dụng được, thật sự tệ.",0
Không thể sử dụng được vì bị hỏng.,0
Không hài lòng với dịch vụ khách hàng.,0
"Dịch vụ giao hàng bình thường, không có gì đặc biệt.",1
"Chất lượng kém, rất thất vọng.",0
"Không thoải mái khi sử dụng, rất khó chịu.",0
Rất thất vọng với chất lượng.,0
"Hàng không có gì nổi bật, rất nhàm chán.",0
"hag chuan, rat ug y, cam on sh",2
san pham kem chat luong. that te luon,0
"Không thoải mái, chất liệu quá cứng.",0
"Hàng không đúng như mô tả, rất chán.",0
"Hàng giao bị thiếu phụ kiện, không thể sử dụng.",0
Hàng bị trầy xước khi nhận.,0
"hàng đẹp, đã sử dụng thử rất ok, không bị thấm nước qua bên ngoài thành ly. shop bán hàng rất nhiệt tình",2
"mình đã nhận đc xe rồi shop ạ. Xe nhìn chất quá, chạy cũng khỏe. chồng mình ngồi lên 65kg vẫn chạy vèo vèo, tư vấn nhiệt tình, xe cũng dễ dùngthôi. đặc biệt mình thấy giá shop bán rẻ hơn vơi thị trường khá nhiều.",2
quá ổn. mua 2c chạy tốt cả 2. 5 sao nhé,2
"Kích thước không như quảng cáo, quá nhỏ.",0
"Kích thước không như quảng cáo, quá nhỏ.",0
rất tốt giao hàng rất nhanh,2
"Không thể lắp ráp, không có hướng dẫn.",0
"Hàng hóa tạm được, nhưng có thể cải thiện hơn.",1
"đẹp  đến  từng  cm  ,cảm ơn  xẽ  ủng  hộ  lâu dài  nêu co dip",2
"Nhận hàng bị bẩn, không sạch sẽ.",0
Mua rồi mà không thấy tác dụng gì.,0
"Không giống như mô tả, rất thất vọng.",0
"Hàng bị lỗi, không thể hoàn trả.",0
Thái độ phục vụ khách hàng không tốt chút nào.,0
"Hàng nhận được không đến nỗi tệ, nhưng cũng không xuất sắc.",1
